,Unnamed: 0,Date,Host,Result,Guest,Status,Season,Host: Average shots stvor,Guest: Average shots stvor,Host: Average corner situation,Guest: Average corner situation,Host: SCR,Guest: SCR,Host: Ball control,Guest: Ball control
0,0,02.08.2020,Genoa,3 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020,4.13,4.45,4.37,5.45,0.13921113689095127,0.14134275618374556,49.37,49.68
1,1,02.08.2020,Lecce,3 : 4,Parma,Завершен,italy-serie-a-2019-2020,4.58,4.11,4.79,4.39,0.13888888888888887,0.15739769150052466,44.58,43.63
2,2,02.08.2020,Bologna,1 : 1,Torino,Завершен,italy-serie-a-2019-2020,4.53,3.89,6.0,4.74,0.1269265639165911,0.13303769401330376,52.87,47.45
3,3,02.08.2020,Sassuolo,0 : 1,Udinese,Завершен,italy-serie-a-2019-2020,5.29,3.92,5.45,5.26,0.16869728209934395,0.10559662090813093,57.71,44.66
4,4,02.08.2020,SPAL,1 : 3,Fiorentina,Завершен,italy-serie-a-2019-2020,3.34,5.08,4.16,5.5,0.07179487179487179,0.12404580152671756,46.55,47.53
5,5,01.08.2020,Milan,3 : 0,Cagliari,Завершен,italy-serie-a-2019-2020,5.21,4.05,5.47,4.05,0.13385826771653545,0.15283842794759825,55.24,45.37
6,6,01.08.2020,Atalanta,0 : 2,Inter,Завершен,italy-serie-a-2019-2020,7.34,6.18,6.53,6.18,0.1882693700217234,0.17170891251022077,57.63,54.21
7,7,01.08.2020,Napoli,3 : 1,Lazio,Завершен,italy-serie-a-2019-2020,6.21,5.95,5.84,5.74,0.11976047904191618,0.18229166666666669,59.32,50.45
8,8,01.08.2020,Juventus,1 : 3,Roma,Завершен,italy-serie-a-2019-2020,6.26,5.71,6.18,7.03,0.14695077149155034,0.14992503748125938,58.16,53.03
9,9,01.08.2020,Brescia,1 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020,3.68,4.66,4.21,5.13,0.11138613861386139,0.11423550087873462,40.05,42.53
10,10,29.07.2020,Fiorentina,4 : 0,Bologna,Завершен,italy-serie-a-2019-2020,5.08,4.53,5.5,6.0,0.12404580152671756,0.1269265639165911,47.53,52.87
11,11,29.07.2020,Cagliari,2 : 0,Juventus,Завершен,italy-serie-a-2019-2020,4.05,6.26,4.05,6.18,0.15283842794759825,0.14695077149155034,45.37,58.16
12,12,29.07.2020,Torino,2 : 3,Roma,Завершен,italy-serie-a-2019-2020,3.89,5.71,4.74,7.03,0.13303769401330376,0.14992503748125938,47.45,53.03
13,13,29.07.2020,Lazio,2 : 0,Brescia,Завершен,italy-serie-a-2019-2020,5.95,3.68,5.74,4.21,0.18229166666666669,0.11138613861386139,50.45,40.05
14,14,29.07.2020,Sassuolo,5 : 0,Genoa,Завершен,italy-serie-a-2019-2020,5.29,4.13,5.45,4.37,0.16869728209934395,0.13921113689095127,57.71,49.37
15,15,29.07.2020,Udinese,1 : 2,Lecce,Завершен,italy-serie-a-2019-2020,3.92,4.58,5.26,4.79,0.10559662090813093,0.13888888888888887,44.66,44.58
16,16,29.07.2020,Sampdoria,1 : 4,Milan,Завершен,italy-serie-a-2019-2020,4.66,5.21,5.13,5.47,0.11423550087873462,0.13385826771653545,42.53,55.24
17,17,29.07.2020,Hellas Verona,3 : 0,SPAL,Завершен,italy-serie-a-2019-2020,4.45,3.34,5.45,4.16,0.14134275618374556,0.07179487179487179,49.68,46.55
18,18,28.07.2020,Inter,2 : 0,Napoli,Завершен,italy-serie-a-2019-2020,6.18,6.21,6.18,5.84,0.17170891251022077,0.11976047904191618,54.21,59.32
19,19,28.07.2020,Parma,1 : 2,Atalanta,Завершен,italy-serie-a-2019-2020,4.11,7.34,4.39,6.53,0.15739769150052466,0.1882693700217234,43.63,57.63
20,20,26.07.2020,Juventus,2 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020,6.26,4.66,6.18,5.13,0.14695077149155034,0.11423550087873462,58.16,42.53
21,21,26.07.2020,Roma,2 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020,5.71,5.08,7.03,5.5,0.14992503748125938,0.12404580152671756,53.03,47.53
22,22,26.07.2020,Hellas Verona,1 : 5,Lazio,Завершен,italy-serie-a-2019-2020,4.45,5.95,5.45,5.74,0.14134275618374556,0.18229166666666669,49.68,50.45
23,23,26.07.2020,SPAL,1 : 1,Torino,Завершен,italy-serie-a-2019-2020,3.34,3.89,4.16,4.74,0.07179487179487179,0.13303769401330376,46.55,47.45
24,24,26.07.2020,Cagliari,0 : 1,Udinese,Завершен,italy-serie-a-2019-2020,4.05,3.92,4.05,5.26,0.15283842794759825,0.10559662090813093,45.37,44.66
25,25,26.07.2020,Bologna,3 : 2,Lecce,Завершен,italy-serie-a-2019-2020,4.53,4.58,6.0,4.79,0.1269265639165911,0.13888888888888887,52.87,44.58
26,26,25.07.2020,Napoli,2 : 0,Sassuolo,Завершен,italy-serie-a-2019-2020,6.21,5.29,5.84,5.45,0.11976047904191618,0.16869728209934395,59.32,57.71
27,27,25.07.2020,Genoa,0 : 3,Inter,Завершен,italy-serie-a-2019-2020,4.13,6.18,4.37,6.18,0.13921113689095127,0.17170891251022077,49.37,54.21
28,28,25.07.2020,Brescia,1 : 2,Parma,Завершен,italy-serie-a-2019-2020,3.68,4.11,4.21,4.39,0.11138613861386139,0.15739769150052466,40.05,43.63
29,29,24.07.2020,Milan,1 : 1,Atalanta,Завершен,italy-serie-a-2019-2020,5.21,7.34,5.47,6.53,0.13385826771653545,0.1882693700217234,55.24,57.63
30,30,23.07.2020,Lazio,2 : 1,Cagliari,Завершен,italy-serie-a-2019-2020,5.95,4.05,5.74,4.05,0.18229166666666669,0.15283842794759825,50.45,45.37
31,31,23.07.2020,Udinese,2 : 1,Juventus,Завершен,italy-serie-a-2019-2020,3.92,6.26,5.26,6.18,0.10559662090813093,0.14695077149155034,44.66,58.16
