,Date,Host,Result,Guest,Status,Season
0,02.08.2020,Genoa,3 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020
1,02.08.2020,Lecce,3 : 4,Parma,Завершен,italy-serie-a-2019-2020
2,02.08.2020,Bologna,1 : 1,Torino,Завершен,italy-serie-a-2019-2020
3,02.08.2020,Sassuolo,0 : 1,Udinese,Завершен,italy-serie-a-2019-2020
4,02.08.2020,SPAL,1 : 3,Fiorentina,Завершен,italy-serie-a-2019-2020
5,01.08.2020,Milan,3 : 0,Cagliari,Завершен,italy-serie-a-2019-2020
6,01.08.2020,Atalanta,0 : 2,Inter,Завершен,italy-serie-a-2019-2020
7,01.08.2020,Napoli,3 : 1,Lazio,Завершен,italy-serie-a-2019-2020
8,01.08.2020,Juventus,1 : 3,Roma,Завершен,italy-serie-a-2019-2020
9,01.08.2020,Brescia,1 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
10,29.07.2020,Fiorentina,4 : 0,Bologna,Завершен,italy-serie-a-2019-2020
11,29.07.2020,Cagliari,2 : 0,Juventus,Завершен,italy-serie-a-2019-2020
12,29.07.2020,Torino,2 : 3,Roma,Завершен,italy-serie-a-2019-2020
13,29.07.2020,Lazio,2 : 0,Brescia,Завершен,italy-serie-a-2019-2020
14,29.07.2020,Sassuolo,5 : 0,Genoa,Завершен,italy-serie-a-2019-2020
15,29.07.2020,Udinese,1 : 2,Lecce,Завершен,italy-serie-a-2019-2020
16,29.07.2020,Sampdoria,1 : 4,Milan,Завершен,italy-serie-a-2019-2020
17,29.07.2020,Hellas Verona,3 : 0,SPAL,Завершен,italy-serie-a-2019-2020
18,28.07.2020,Inter,2 : 0,Napoli,Завершен,italy-serie-a-2019-2020
19,28.07.2020,Parma,1 : 2,Atalanta,Завершен,italy-serie-a-2019-2020
20,26.07.2020,Juventus,2 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020
21,26.07.2020,Roma,2 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020
22,26.07.2020,Hellas Verona,1 : 5,Lazio,Завершен,italy-serie-a-2019-2020
23,26.07.2020,SPAL,1 : 1,Torino,Завершен,italy-serie-a-2019-2020
24,26.07.2020,Cagliari,0 : 1,Udinese,Завершен,italy-serie-a-2019-2020
